Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C15, C18, C2, C20, C21, C22, C3, C4, C5, C6, C7, C8",0603,16,0.1uF,
"C10, C9",1206,2,100uF,
C16,0603,1,47pF,
C17,1210,1,10uF,
C19,0805,1,200nF,
CN1,CONN-TH_6P-P3.00_HC-MX3.0-2X3AW_1,1,HC-MX3.0-2*3AW,C3294384
"CN2, CN3, CN4, CN5",CONN-SMD_10P-P2.00_2.0-10P-WT,4,2.0-10P WT,C5340818
"D1, D5",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,PSM712-LF-T7,C32677
D2,SMA_L4.4-W2.6-LS5.0-BI,1,SMAJ24CA-C148223,C148223
D3,D_SOD-323_HandSoldering,1,1N4148WS,
D4,SOD-323_L1.7-W1.3-LS2.5-BI-1,1,"PESD3V3L1BA,115",C51450
F1,1812,1,2A,
"H1, H2, H3",MountingHole_2.2mm_M2_DIN965,3,M2,
J1,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,
L1,L_Chilisin_BMRB00060650,1,33uH,
"LED1, LED3",LED-SMD_4P-L4.0-W1.7_XL-4020RGBC-WS2812B,2,XL-4020RGBC-WS2812B,C3647024
"R1, R10, R2, R7, R8, R9",0603,6,10R,
"R11, R12, R13, R14",1210,4,0.10R,
"R15, R17",0603,2,100K,
R16,0603,1,43.2K,
"R18, R19, R5",0603,3,10K,
"R20, R23, R6",0603,3,120R,
"R3, R4",0603,2,5.1K,
"RN1, RN2, RN3, RN4",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,4,4D03WGJ0103T5E,C29718
"SW1, SW2",SW-SMD_4P-L2.5-W1.6-LS2.9_STI-055A12AX,2,GT-TC194A-H0055-L1,C41398745
U1,BULETM-SMD_ESPRESSIF_ESP32-S3-MINI-1U-N8,1,ESP32-S3-MINI-1U-N8,C2980299
"U10, U7",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,2,TP75176E-SR,C94207
U11,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,
U2,USB-SMD_KH-TYPE-C-L6.5-16P-STM,1,KH-TYPE-C-L6.5-16P-STM,C2919639
"U3, U4, U5, U6",HSOP-8_L5.0-W4.0-P1.27-LS6.2-BL-EP,4,DRV8231DDAR,C5218850
U8,SENSOR-SMD-6_AHT20,1,AHT20-F,C3012622
U9,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1,1,LMR33630ADDA,C2866787
